,skill,count,word_count
119,sql,1493,1
30,development,1400,1
58,java,1266,1
31,javascript,1177,1
8,linux,851,1
265,html,769,1
136,css,715,1
20,security,645,1
111,python,644,1
24,c#,591,1
101,oracle,575,1
63,manager,520,1
7,developer,501,1
232,testing,469,1
130,jquery,462,1
141,programming,458,1
17,http,457,1
262,architecture,452,1
427,agile,439,1
1,unix,435,1
145,j2ee,421,1
84,database,409,1
57,c++,372,1
464,mysql,367,1
197,analysis,355,1
18,networking,354,1
49,excel,354,1
40,hardware,351,1
61,consulting,332,1
134,xml,316,1
368,research,303,1
337,asp.net,299,1
587,cisco,296,1
158,perl,291,1
80,spring,288,1
35,windows,279,1
373,html5,279,1
27,aws,274,1
214,.net,271,1
267,vmware,267,1
385,hadoop,254,1
45,analyst,252,1
325,scrum,234,1
509,rest,226,1
375,git,226,1
131,ajax,217,1
275,soap,215,1
85,lifecycle,214,1
433,php,211,1
289,sdlc,210,1
524,angularjs,210,1
215,tcp,207,1
322,qa,196,1
68,roid,195,1
25,mvc,189,1
163,jenkins,187,1
593,cloud,187,1
978,json,186,1
381,css3,184,1
274,nosql,183,1
1344,ruby,182,1
468,pl,182,1
216,ip,178,1
764,hibernate,176,1
335,api,174,1
39,sales,174,1
627,networks,164,1
86,metrics,164,1
667,lan,163,1
206,modeling,162,1
219,protocols,162,1
42,software,160,1
910,etl,159,1
283,ios,158,1
264,exchange,158,1
254,release,158,1
16,dns,152,1
321,automated,151,1
399,angular,147,1
51,powerpoint,140,1
590,wan,140,1
229,scripts,136,1
481,sap,131,1
478,powershell,129,1
56,c,127,1
245,design,127,1
457,cissp,124,1
50,it,122,1
22,vpn,121,1
288,apache,120,1
41,network,117,1
338,crm,115,1
28,azure,115,1
280,switches,114,1
250,db2,113,1
767,puppet,113,1
366,jsp,112,1
159,bash,112,1
1004,ssis,112,1
336,asp,112,1
1762,scripting,111,1
230,supervision,111,1
87,pmp,108,1
400,bootstrap,108,1
176,engineer,107,1
588,routers,106,1
1190,soa,104,1
233,chef,104,1
113,spark,102,1
564,materials,102,1
584,ccnp,101,1
608,genetic,99,1
266,iis,99,1
466,informatica,99,1
367,mongodb,99,1
67,node.js,97,1
649,recruiter,97,1
636,firewall,95,1
43,systems,95,1
726,hive,94,1
845,ui,94,1
471,erp,94,1
441,automation,92,1
425,ra,92,1
544,selenium,92,1
477,director,91,1
391,cass,90,1
350,sas,90,1
1005,ssrs,89,1
129,wcf,88,1
1289,devops,86,1
224,applications,85,1
263,citrix,85,1
341,architect,84,1
583,ccna,83,1
286,web,82,1
693,jira,82,1
60,case,81,1
177,engineering,80,1
423,scala,80,1
138,algorithms,78,1
273,middleware,78,1
450,e-commerce,77,1
46,application,77,1
118,outlook,77,1
272,ibm,76,1
89,scheduling,74,1
88,salesforce,73,1
2318,firewalls,72,1
164,maven,72,1
451,ecommerce,72,1
220,system,71,1
836,mobile,69,1
1517,junit,67,1
1872,tomcat,67,1
1000,dba,67,1
192,implementation,67,1
354,infrastructure,66,1
339,foundation,65,1
832,sharepoint,65,1
535,jdbc,65,1
532,ux,65,1
218,performance,64,1
866,bi,64,1
772,saas,64,1
157,shell,64,1
66,react,63,1
424,kafka,63,1
311,tableau,63,1
217,libraries,62,1
734,restful,61,1
1682,mcse,61,1
285,programmer,60,1
814,svn,59,1
376,matlab,58,1
140,oop,58,1
426,hbase,58,1
889,pc,58,1
1574,configuration,58,1
1232,jboss,57,1
561,integration,57,1
248,websphere,57,1
2370,support,56,1
909,t-sql,56,1
231,test,55,1
277,ssl,55,1
626,encryption,55,1
2080,bgp,55,1
618,embedded,54,1
225,computer,54,1
281,telecom,54,1
1370,storage,53,1
81,struts,52,1
127,tfs,52,1
379,protocol,51,1
951,voip,51,1
480,peoplesoft,51,1
928,dhcp,51,1
1676,jms,50,1
640,apex,50,1
1499,pig,50,1
227,quality,50,1
804,angular.js,50,1
383,tdd,50,1
21,video,50,1
173,r,50,1
1707,healthcare,49,1
139,ood,49,1
420,postgresql,48,1
784,troubleshooting,48,1
2612,docker,47,1
4000,sccm,47,1
1536,automotive,47,1
1771,itil,47,1
932,ethernet,47,1
1066,nodejs,46,1
370,vb.net,46,1
555,uml,46,1
854,visio,46,1
3054,reporting,45,1
1485,wpf,45,1
132,vb,45,1
334,access,45,1
1674,ejb,44,1
515,solaris,44,1
768,ansible,44,1
578,iterative,43,1
1149,technician,43,1
582,ccie,43,1
2313,ospf,43,1
1412,swift,43,1
597,teradata,43,1
1233,san,43,1
460,browser,43,1
554,sybase,42,1
314,analytical,42,1
1155,iso,42,1
589,telecommunications,41,1
2148,microsoft,40,1
886,sox,39,1
270,ci,39,1
2235,documentation,39,1
1660,splunk,39,1
349,cognos,38,1
1250,data,38,1
1557,ips,38,1
962,virtualization,38,1
414,administration,37,1
249,weblogic,37,1
305,finance,37,1
1142,xslt,37,1
882,edi,36,1
307,compliance,36,1
1818,ids,36,1
2864,photoshop,36,1
989,marketing,36,1
3706,routing,36,1
1804,node,35,1
500,backbone,35,1
4590,switching,35,1
435,specification,35,1
2303,ssas,35,1
703,analytics,35,1
926,emc,34,1
1518,lead,34,1
461,cms,34,1
1238,rdbms,34,1
198,validation,33,1
1696,f5,33,1
1316,2012,33,1
3409,django,33,1
200,underst,33,1
2081,mpls,33,1
2164,risk,33,1
729,github,33,1
2931,vbscript,32,1
1192,packaging,32,1
3303,juniper,32,1
79,jsf,32,1
512,b2b,32,1
244,planning,32,1
972,objective-c,31,1
1816,router,31,1
2724,lamp,31,1
2190,technical,31,1
1447,ldap,31,1
1313,server,31,1
504,sass,30,1
3151,siem,30,1
1786,mechanical,30,1
2488,openstack,30,1
1788,physics,30,1
276,solr,30,1
396,build,30,1
884,hudson,30,1
1831,paas,30,1
4194,eigrp,30,1
453,supervisor,30,1
237,cism,29,1
1613,desktop,29,1
887,subversion,29,1
1440,webservices,29,1
1704,library,29,1
2305,mapreduce,29,1
1507,mdm,29,1
1566,cobol,28,1
1575,visualforce,28,1
361,accounting,28,1
252,aix,28,1
2174,epic,27,1
3494,ec2,27,1
190,develop,27,1
1062,reactjs,27,1
2925,nexus,27,1
918,apis,27,1
2462,payroll,27,1
530,graphics,27,1
975,servlets,26,1
310,adobe,26,1
403,jcl,26,1
326,tester,26,1
4688,alm,26,1
1950,vsphere,26,1
295,firmware,26,1
1049,pl1,26,1
241,retail,26,1
2727,mathematical,25,1
968,leadership,25,1
1433,sip,25,1
514,consultant,25,1
1733,cics,25,1
1870,redhat,25,1
2062,laptop,25,1
1061,react.js,25,1
1807,wireless,25,1
2199,mq,25,1
1277,algorithm,25,1
2424,olap,25,1
1789,rf,25,1
2144,scientific,24,1
2902,wsdl,24,1
5213,monitoring,24,1
628,printer,24,1
12,ar,24,1
1353,microservices,24,1
6017,eclipse,24,1
505,less,24,1
959,linq,24,1
1228,ant,24,1
405,engineers,23,1
430,multi-threading,23,1
501,ember,23,1
1879,ebs,23,1
830,h,23,1
496,tibco,23,1
835,ad,23,1
1734,enterprise,23,1
2516,wordpress,23,1
94,banking,23,1
1916,uat,23,1
2177,waterfall,23,1
13,ap,22,1
160,rhel,22,1
2063,peripherals,22,1
3317,helpdesk,22,1
456,cisa,22,1
2433,vba,22,1
4057,storm,22,1
3981,nas,22,1
551,hr,22,1
1376,sfdc,21,1
974,jee,21,1
3800,multithreading,21,1
2248,coding,21,1
1260,s3,21,1
942,illustrator,21,1
475,microstrategy,21,1
1423,backup,21,1
1983,recovery,21,1
3016,autocad,21,1
1906,hdfs,20,1
2365,confluence,20,1
329,xcode,20,1
331,basic,20,1
3056,a,20,1
353,micro,20,1
1298,ups,20,1
1778,assembly,20,1
3227,sun,20,1
32,iam,20,1
6,reports,20,1
1546,cucumber,20,1
1658,sqoop,20,1
3247,admin,20,1
1731,hipaa,20,1
930,backbone.js,20,1
3387,hub,20,1
860,scm,19,1
2523,go,19,1
911,redis,19,1
531,gui,19,1
397,deployment,19,1
749,nagios,19,1
2393,snmp,19,1
1673,smtp,19,1
1779,cad,19,1
725,postgres,19,1
585,circuit,19,1
2640,testng,19,1
3087,financial,19,1
121,pci,18,1
3101,jvm,18,1
5595,netapp,18,1
2680,xsd,18,1
2588,qos,18,1
1337,backend,18,1
2690,asa,18,1
1249,bigdata,18,1
600,functional,18,1
1614,servers,18,1
3770,mvvm,18,1
488,flash,18,1
1303,os,18,1
5314,jasmine,18,1
2191,business,18,1
1825,voice,18,1
5202,jpa,18,1
189,operations,18,1
4894,scom,18,1
1699,debugging,18,1
3333,elasticsearch,17,1
4150,troubleshoot,17,1
625,diagnostic,17,1
1356,rabbitmq,17,1
4444,vulnerability,17,1
1473,ims,17,1
2848,mcp,17,1
4831,hcm,17,1
1933,js,17,1
954,bamboo,17,1
161,centos,17,1
1476,saml,17,1
2851,s,17,1
546,sdn,17,1
