,skill,count,word_count,stem skill
119,sql,1493,1, sql
30,development,1400,1, develop
58,java,1266,1, java
31,javascript,1177,1, javascript
8,linux,851,1, linux
265,html,769,1, html
136,css,715,1, css
20,security,645,1, secur
111,python,644,1, python
24,c#,591,1, c #
101,oracle,575,1, oracl
63,manager,520,1, manag
232,testing,469,1, test
130,jquery,462,1, jqueri
141,programming,458,1, program
17,http,457,1, http
262,architecture,452,1, architectur
427,agile,439,1, agil
1,unix,435,1, unix
145,j2ee,421,1, j2ee
84,database,409,1, databas
57,c++,372,1, c++
464,mysql,367,1, mysql
197,analysis,355,1, analysi
18,networking,354,1, network
49,excel,354,1, excel
40,hardware,351,1, hardwar
61,consulting,332,1, consult
134,xml,316,1, xml
368,research,303,1, research
337,asp.net,299,1, asp.net
587,cisco,296,1, cisco
158,perl,291,1, perl
80,spring,288,1, spring
35,windows,279,1, window
373,html5,279,1, html5
27,aws,274,1, aw
214,.net,271,1, .net
267,vmware,267,1, vmware
385,hadoop,254,1, hadoop
45,analyst,252,1, analyst
325,scrum,234,1, scrum
509,rest,226,1, rest
375,git,226,1, git
131,ajax,217,1, ajax
275,soap,215,1, soap
85,lifecycle,214,1, lifecycl
433,php,211,1, php
289,sdlc,210,1, sdlc
524,angularjs,210,1, angularj
215,tcp,207,1, tcp
322,qa,196,1, qa
68,roid,195,1, roid
25,mvc,189,1, mvc
163,jenkins,187,1, jenkin
593,cloud,187,1, cloud
978,json,186,1, json
381,css3,184,1, css3
274,nosql,183,1, nosql
1344,ruby,182,1, rubi
468,pl,182,1, pl
216,ip,178,1, ip
764,hibernate,176,1, hibern
335,api,174,1, api
39,sales,174,1, sale
86,metrics,164,1, metric
667,lan,163,1, lan
206,modeling,162,1, model
219,protocols,162,1, protocol
42,software,160,1, softwar
910,etl,159,1, etl
283,ios,158,1, io
264,exchange,158,1, exchang
254,release,158,1, releas
16,dns,152,1, dn
321,automated,151,1, autom
399,angular,147,1, angular
51,powerpoint,140,1, powerpoint
590,wan,140,1, wan
229,scripts,136,1, script
481,sap,131,1, sap
478,powershell,129,1, powershel
56,c,127,1, c
245,design,127,1, design
457,cissp,124,1, cissp
50,it,122,1,
22,vpn,121,1, vpn
288,apache,120,1, apach
338,crm,115,1, crm
28,azure,115,1, azur
280,switches,114,1, switch
250,db2,113,1, db2
767,puppet,113,1, puppet
366,jsp,112,1, jsp
159,bash,112,1, bash
1004,ssis,112,1, ssi
336,asp,112,1, asp
230,supervision,111,1, supervis
87,pmp,108,1, pmp
400,bootstrap,108,1, bootstrap
176,engineer,107,1, engin
588,routers,106,1, router
1190,soa,104,1, soa
233,chef,104,1, chef
113,spark,102,1, spark
564,materials,102,1, materi
584,ccnp,101,1, ccnp
608,genetic,99,1, genet
266,iis,99,1, ii
466,informatica,99,1, informatica
367,mongodb,99,1, mongodb
67,node.js,97,1, node.j
649,recruiter,97,1, recruit
636,firewall,95,1, firewal
43,systems,95,1, system
726,hive,94,1, hive
845,ui,94,1, ui
471,erp,94,1, erp
425,ra,92,1, ra
544,selenium,92,1, selenium
477,director,91,1, director
391,cass,90,1, cass
350,sas,90,1, sa
1005,ssrs,89,1, ssr
129,wcf,88,1, wcf
1289,devops,86,1, devop
224,applications,85,1, applic
263,citrix,85,1, citrix
341,architect,84,1, architect
583,ccna,83,1, ccna
286,web,82,1, web
693,jira,82,1, jira
60,case,81,1, case
423,scala,80,1, scala
138,algorithms,78,1, algorithm
273,middleware,78,1, middlewar
450,e-commerce,77,1, e-commerc
118,outlook,77,1, outlook
272,ibm,76,1, ibm
89,scheduling,74,1, schedul
88,salesforce,73,1, salesforc
164,maven,72,1, maven
451,ecommerce,72,1, ecommerc
